text,category,label,reason_value,spans,evidences,use_evidence_loss,functional_valid,label0_has_evidence,functional_tags,functional_reason,functional_category,functional_row_idx,evidence_reason_merge,subset_label,model_wrong
[Web발신][kt엠모바일 안내] 전국민 보이스피싱 피해예방 캠페인 고객님의 피해가 우려되는 ‘무조건 피해야할’ 보이스피싱 전화 문자 SNS 사례들을 안내 드립니다. 다음과 같은 내용의 문자나 전화에 대해서는 ① 즉시 진행을 중단하시고 ② 출처를 알 수 없는 링크의 경우 절대 누르지 마시기 바라며 ③ 혹시 ‘링크’를 누르신 경우에는 ‘악성 앱’이 #OTHERS의 통화를 가로 챌 수 있으니 통화 발신에 특별히 유의하시기 바랍니다. ①수사기관 사칭 ☞ “#ADDRESS 수사관입니다. 금융범죄에 연루되었습니다.” ②정부기관 사칭 ☞ “귀하는 정책지원금 신청대상자 입니다. 아래 #URL로 지원하시기 바랍니다.” ③지인/가족 사칭 ☞ “#NAME 핸드폰이 고장나서 카톡밖에 안되는데 신분증 좀 보내봐＂ ④택배사 사칭 ☞ 배송이 시작되었습니다. 배송조회 #URL ⑤해외결제 ☞ 575 000원 결제 완료. 고객센터 #PHONE ⑥금융기관 사칭 ☞ [XX은행] 저금리 대환대출 1억까지 가능. 고객센터 #PHONE ⑦기업 사칭 ☞ [피해접수] 아래 링크로 #OTHERS 서비스 장애로 인한 피해 접수 바랍니다. [유의사항/신고방법] ① 공공기관이나 금융기관에서는 개인의 금융정보 및 이체를 요구하지 않습니다. 절대 개인정보를 알려주거나 이체를 하지 않습니다. ② 보이스피싱이 의심스럽거나 피해가 발생한 경우 즉시 각 금융사 경찰서(☎112) 검찰(☎ 1301) 금융감독원(☎1332) 신고하시고 개인정보 노출이 의심되는 경우 금융감독원 사고예방시스템(#URL)에 등록하시기 바랍니다. /[kt엠모바일 안내] 전국민 보이스피싱 피해예방 캠페인,finance,1,"해당 문자는 보이스피싱 피해 예방을 주제로 하며, 여러 가지 스미싱 사례를 나열하고 있습니다. 특히, ""출처를 알 수 없는 링크의 경우 절대 누르지 마시기 바라며""라는 경고와 함께 다양한 사칭 사례를 제시하고 있어, 스미싱의 위험성을 강조하고 있습니다. 또한, 금융기관이나 공공기관이 개인의 금융정보를 요구하지 않는다는 점을 명시하고 있어, 스미싱 문자로 인한 피해를 예방하기 위한 내용이 포함되어 있습니다. 이러한 요소들은 스미싱 문자로 판단되는 근거가 됩니다.",[],[],0,0,0,[],보이스피싱 예방을 위한 안내와 신고 방법을 제공하는 정상적인 정보성 내용이다.,finance,,raw_reason_functional_left,5/5,1.0
[Web발신]※ 귀 사업장은 #TIME부터 시행중인 2021년 3분기 소상공인 손실보상 대상입니다.   아직 손실보상을 신청하지 않으신 경우  아래 신청방법에 따라 온라인(#URL) 또는 관할 시·군·구청 접수창구를 방문하시어 보상금을 신청해주시기 바랍니다. 신속보상금에 동의하지 않으시는 경우 확인보상을 신청하실 수 있습니다.   - 온라인 신청방법 : 포털사이트에서 ‘소상공인 손실보상’ 검색 또는 주소창에 ‘#URL’을 입력하여 접속 → 사업자 번호 입력 후 본인인증을 거쳐 신청   - 문의전화 : 소상공인 손실보상 콜센터(#PHONE)   - 소상공인 손실보상은 조회 결과에 따라 확인된 경우에만 지급되며  기타 상세한 내용은 소상공인 손실보상 홈페이지의 FAQ를 참조하시기 바랍니다. (전자등기 #URL 포함) #URL※ 수신거부: #PHONE /손실보상 미신청 기업 대상 신청 안내,finance,1,"이 문자는 소상공인 손실보상과 관련된 내용을 담고 있으며, 특정 URL을 클릭하도록 유도하고 있습니다. 또한, 정부 정책에 따라 대출이나 보상을 권유하는 내용이 포함되어 있어 스미싱의 전형적인 특징을 보입니다. 이러한 요소들은 사용자가 링크를 클릭하게 하여 개인 정보를 탈취하거나 악성 소프트웨어를 다운로드하도록 유도할 수 있는 위험이 있습니다.","[[248, 271]]","[""사업자 번호 입력 후 본인인증을 거쳐 신청""]",1,0,0,"[""credential_or_document_request""]",손실보상 신청을 유도하며 본인인증을 요구하는 내용이 포함되어 있다.,finance,,raw_reason_functional_left,4/5,1.0
[Web발신][IBK저축은행]- 고객명 : #NAME- 대출금액 :   15 000 000원- 대출기간 : #TIME- 서민금융진흥원 총 보증료      708 310원 예상되며  보증료는 매월 보증료 별도 분납 처리 됩니다. 가상계좌 및 입금금액은 서민금융진흥원에서 문자 발송 됩니다.,finance,1,"해당 문자는 대출을 권유하는 내용으로, 금융기관에서는 전화나 문자로 정부정책 대출을 포함하여 모든 종류의 대출신청을 권유하지 않기 때문에 스미싱으로 판단됩니다.","[[127, 160]]","[""가상계좌 및 입금금액은 서민금융진흥원에서 문자 발송 됩니다.""]",1,0,0,"[""credential_or_document_request""]",대출 혜택을 제시하며 가상계좌 정보를 요구하는 방식으로 스미싱을 유도한다.,finance,,raw_reason_functional_left,5/5,1.0
[Web발신][kt안내] 전국민 보이스피싱 피해예방 캠페인고객님의 피해가 우려되는 ‘무조건 피해야할’ 보이스피싱 전화 문자 SNS 사례들을 안내 드립니다. 다음과 같은 내용의 문자나 전화에 대해서는 ① 즉시 진행을 중단하시고 ② 출처를 알 수 없는 링크의 경우 절대 누르지 마시기 바라며 ③ 혹시 ‘링크’를 누르신 경우에는 ‘악성 앱’ 이 고객님의 통화를 가로챌 수 있으니 통화 발신에 특별히 유의하시기 바랍니다. [수사기관 사칭]■ “#ADDRESS 수사관입니다. 금융범죄에 연루되었습니다.”[정부기관 사칭]■ 귀하는 정책지원금 신청대상자 입니다. 아래 #URL로 지원하시기 바랍니다. [지인/가족 사칭]■ “#NAME 급하게 돈이 필요한데 90만원만 송금해 주세요.”■ “#NAME 핸드폰이 고장나서 카톡밖에 안되는데 신분증 좀 보내봐＂■ “#NAME 여기서 문화상품권 구입해서 핀번호 좀 알려줘“[택배사 사칭]■ 배송이 시작되었습니다.배송조회 #URL■ [해외결제] 575 000원 결제 완료. 고객센터 #PHONE[금융기관 사칭]■ [XX은행] 저금리 대환대출 1억까지 가능. 고객센터 #PHONE[기업 사칭]■ [피해접수] 아래 링크로 #OTHERS 서비스 장애로 인한 피해 접수 바랍니다. ☞ [유의사항/신고방법]1. 공공기관이나 금융기관에서는 개인의 금융정보 및 이체를 요구하지 않습니다. 절대 개인정보를 알려주거나 이체를 하지 않습니다. 2. 보이스피싱이 의심스럽거나 피해가 발생한 경우 즉시 각 금융사 경찰서(☎112) 검찰(☎ 1301) 금융감독원(☎1332) 신고하시고 개인정보 노출이 의심되는 경우 금융감독원 사고예방시스템(#URL)에 등록하시기 바랍니다. 감사합니다. /[kt안내] 전국민 보이스피싱 피해예방 캠페인,finance,1,"이 문자는 보이스피싱 피해 예방을 주제로 하며, 여러 가지 스미싱 및 사기 유형을 나열하고 있습니다. 특히, 출처를 알 수 없는 링크를 클릭하지 말라는 경고와 함께, 금융기관이나 공공기관이 개인의 금융정보를 요구하지 않는다는 내용을 포함하고 있어, 스미싱의 위험성을 강조하고 있습니다. 이러한 내용은 스미싱 문자에서 흔히 나타나는 특징으로, 사용자에게 경각심을 주기 위한 목적이 있습니다.",[],[],0,0,0,[],보이스피싱 피해를 예방하기 위한 경고와 신고를 유도하는 내용이 포함되어 있다.,finance,,raw_reason_functional_left,4/5,1.0
[Web발신]<< #TIME 한부모가족 주거자금 소액대출사업 신청 안내 >>가. 사 업 명: 한부모가족 주거자금 소액대출사업 '나는 가장이다'나. 내    용: 1세대당 최대 5백만원 무이자 주거자금 임차보증금 대출(신용회복중인 성실상환 2년 이상 경과 세대는 최대 3백만원)다. 지원대상: 아래 두 조건을 모두 충족하는 한부모가족(조손가족 포함)의 가장1) 만 18세(취학 자녀 만 22세)이하 자녀를 둔 기준중위소득 100%이하2) 임차보증금 보유기준: 수도권(서울  경기  인천) 1억 이하 / 광역시 8 000만원 / 그 밖의 지역 7 000만원(임대주택은 본인부담금 기준으로 보유기준 측정)라. 신청기간: #TIME마. 신청방법: 한부모가족지원사업 수행기관(단체)에서 대상자 추천(개인신청 불가)바. 문    의: 서울특별시 한부모가족지원센터 복지환경조성팀(☎ #PHONE),finance,1,"이 문자는 정부 정책 대출을 포함하여 대출 신청을 권유하는 내용을 담고 있습니다. 특히, 한부모가족 주거자금 소액대출사업에 대한 안내를 하고 있으며, 이는 금융기관이 전화나 문자로 대출을 권유하지 않는다는 점에서 스미싱의 특징을 가지고 있습니다.","[[90, 120], [338, 349]]","[""1세대당 최대 5백만원 무이자 주거자금 임차보증금 대출"", ""신청기간: #TIME""]",1,1,0,"[""benefit_or_loan_lure"", ""urgency_or_deadline_pressure""]",무이자 대출 혜택을 제시하며 신청 기간을 강조하여 반응을 유도한다.,finance,,raw_reason_functional_left,5/5,1.0
[Web발신]3;정부지원 개인사업자 대출3;◇ 금액: 최대 2.000만원◇ 금리: 연 3.5%     (단  최초 4개월 연 4.5%) [특별재난지역: 연 2.0%]◇ 기한: 최장 3년◇ 신청자격: 1. 신용평점 하위 20% 이하   (#OTHERS 744점 또는            #OTHERS 700점 이하) 2. 근로장려금수급자          (배우자 포함)◇ 문의처: #PHONE※ 1. 무담보/무보증 2. 1천만원 대출 받을 경우          3년간 상환금  - 연 3.5% 기준: 1 058만원- 연 2.0% 기준: 1 031만원 3. 대출 서류 출장 접수 4. 특별재난지역(서울):  #ADDRESS  #ADDRESS  #ADDRESS         #ADDRESS  #ADDRESS,finance,1,"이 문자는 정부지원 개인사업자 대출을 권유하고 있으며, 금융기관에서는 전화나 문자로 대출 신청을 권유하지 않기 때문에 스미싱으로 판단됩니다. 또한, 대출 관련 정보가 구체적으로 제공되고 있으며, 이는 스미싱의 전형적인 특징입니다.","[[9, 22], [94, 103], [310, 321]]","[""정부지원 개인사업자 대출"", ""기한: 최장 3년"", ""대출 서류 출장 접수""]",1,1,0,"[""benefit_or_loan_lure"", ""urgency_or_deadline_pressure"", ""credential_or_document_request""]",정부 지원 대출을 제시하며 신청 자격과 서류 제출을 요구하여 반응을 유도한다.,finance,,raw_reason_functional_left,3/5,1.0
(광고)[SKT] #NAME 비상금 마이너스 통장 이벤트 안내고객님  안녕하세요. SK텔레콤에서 하나은행의 비상금 마이너스 통장 이벤트를 안내해 드립니다.DSR 예외 적용되는 비상금 마이너스 통장 가입하고 최대 1백만 하나머니 이자 지원 혜택도 받아 보세요.▶ My브랜치에서 자세히 보기 : #URL※ My브랜치란  앱 설치 없이 하나은행 금융 상품을 알아볼 수 있는 모바일 웹 기반의 가상 영업점입니다.■ 하나은행 비상금 마이너스 통장 이벤트- 기간 : #TIME- 대상 : 이벤트 기간내 비상금 마이너스 통장 신규가입하고  첫 달 이자를 정상 납부하신 고객님(회차별 111명 추첨)- 혜택 : 첫 달 대출 이자를 납부한 손님에게 5천 ~ 100만 하나머니 지원* 1등(1명) : 100만 하나머니* 2등(10명) : 5만 하나머니* 3등(100명) : 5천 하나머니■ 유의 사항 - 금융 상품에 관한 계약 체결 전 금융 상품 설명서 및 약관을 읽어 보시기 바랍니다.- 금융 소비자는 해당 상품 또는 서비스에 대하여 설명받을 권리가 있습니다.- 대출 금액 3백만 원 이하 소액 대출은 차주 단위 DSR(총부채 원리금 상환 비율) 산정 시 예외적으로 제외됩니다. 다만  다른 대출 신청 시 DSR 산출을 위한 기존 부채에는 포함됩니다.- 이벤트에 대한 상세 내용은 이벤트 페이지를 참고하시기 바랍니다. - 손님의 신용도에 따라 대출 한도와 대출 금리가 차등 적용되며 대출 취급이 제한될 수 있습니다.- 본 홍보물은 법령 및 내부 통제 기준에 따른 절차를 거쳐 제공됩니다.- 본 홍보물은 #TIME 까지 유효합니다.※ 준법감시인 심의필 #OTHERS■ 문의- 이벤트 문의: 하나은행 고객센터(#PHONE)- 하나머니 문의: 하나머니 고객상담센터(#PHONE)감사합니다. 무료 수신거부 #PHONE /하나은행 비상금 마이너스 통장 이벤트를 안내드립니다.,finance,1,"이 문자는 하나은행의 비상금 마이너스 통장 이벤트를 안내하는 내용으로, 금융 기관이 문자로 대출 신청을 권유하는 경우는 스미싱으로 간주됩니다. 또한, 문서 내에 포함된 링크를 클릭하도록 유도하고 있으며, 이는 스미싱의 전형적인 특징입니다.","[[110, 144], [769, 791]]","[""가입하고 최대 1백만 하나머니 이자 지원 혜택도 받아 보세요."", ""본 홍보물은 #TIME 까지 유효합니다.""]",1,1,0,"[""benefit_or_loan_lure"", ""urgency_or_deadline_pressure""]",이벤트 참여를 유도하며 혜택과 유효 기간을 강조하여 긴급성을 부여한다.,finance,,raw_reason_functional_left,4/5,1.0
"[Web발신]안녕하세요 #NAME!일전에 #NAME님의 사업대출을 위해 보증지원을 해드린 #ADDRESS 입니다.경기가 어려운 요즘  경영 애로로 폐업을 고민하시거나  위기 극복을 희망하고 계신가요?저희 ""소상공인 사업재기 및 안전한 폐업지원"" 사업에서 교육  홍보  매장 환경개선  폐업비용 지원을 위해 업체당 최대 3백만원까지 지원해드리고 있습니다.신청은 #ADDRESS 홈페이지(#URL)에서 가능합니다.기타 문의사항은 전화 문의주세요.전화문의 : #PHONE /#ADDRESS",finance,1,"해당 문자는 정부정책 대출을 포함하여 모든 종류의 대출신청을 권유하고 있습니다. 이는 금융권에서 전화나 문자로 대출을 권유하지 않는다는 점에서 스미싱의 전형적인 특징을 보여줍니다. 또한, 문구에서 ""사업대출""과 ""최대 3백만원까지 지원""이라는 내용은 피해자를 유인하기 위한 요소로 작용하며, 출처가 불분명한 링크를 통해 추가 정보를 요구하는 점도 스미싱의 신호로 판단됩니다.","[[197, 247]]","[""신청은 #ADDRESS 홈페이지(#URL)에서 가능합니다.기타 문의사항은 전화 문의주세요.""]",1,0,0,"[""link_or_contact_induction""]","사업 대출과 지원을 미끼로 신청을 유도하고, 추가 문의를 위해 전화 연락을 유도한다.",finance,,raw_reason_functional_left,4/5,1.0
[제목] 서금원 분할상환제도 안내이 문자는 서민금융진흥원 햇살론 대위변제 채무를 보유 중인 분들께 발송되었습니다.서민금융진흥원과 분할상환 약정 시  최장 #TIME 장기 분할납부  신용불량정보 조기 해제  이자 감면 등의 혜택을 받으실 수 있으니 많은 이용 바랍니다. 분할상환을 희망하시는 분께선 ①서민금융진흥원 앱(APP)을 통해 즉시 신청 가능하며  ②상담콜센터(☎#PHONE)를 통해서도 가능합니다.[약정혜택]- 이자(손해금)감면(일정조건 충족시)- 신용(연체)정보 조기 해제- 최장 #TIME 분할상환[약정대상(모두 충족)]- 초입금 10만원 이상 납부 가능- 개인회생  파산  신용회복위원회 채무조정 미이용자☞서민금융진흥원 앱 설치는 <안드로이드/Play스토어> <아이폰/App스토어>에서 “서민금융진흥원”을 검색해주세요. /FW>채무조정제도 안내,finance,1,"이 문자는 서민금융진흥원과 관련된 대출을 권유하고 있으며, 정부 정책 대출을 포함한 모든 종류의 대출 신청을 전화나 문자로 권유하는 것은 스미싱의 전형적인 특징입니다. 또한, 특정 앱을 설치하도록 유도하고 있어 의심스러운 요소가 존재합니다.","[[150, 196]]","[""분할상환을 희망하시는 분께선 ①서민금융진흥원 앱(APP)을 통해 즉시 신청 가능하며""]",1,0,0,"[""credential_or_document_request""]",혜택을 제시하며 즉시 신청을 유도하는 내용이 포함되어 있다.,finance,,raw_reason_functional_left,4/5,1.0
# [Web발신][KB 국민은행 ] 가계대출  금리인하요구권　안내  #NAME  고객님，  금리인하요구권제도에　대하여  안내드립니다．  ■금리인하요구권  은행과　대출　계약을　체결한　고객이  본인의　신용상태가　개선되었다라고  판단되는　경우　은행에　증빙자료를  제출하여　금리인하를　요구할　수　있는  권리입니다．  ※단，　은행의　내부정책　및  신용등급　평가　결과　등에　따라  금리인하　요구가　수용　또는　불수용될  수　있으며，　심사결과는　신청일로부터  #TIME  이내에　안내드립니다．  ■금리인하요구권　신청　대상　상품  은행　내부　개인신용평가시스템 (CSS) 등급에　따라　금리가　차등적용　되는  가계대출  ■신청사유  소득　증가 ( 취업，　승진，　이직，  전문자격　취득　등），　재산　증가 ( 자산　증가，　부채　감소　등），  신용도　상승，　은행의　우수고객으로  선정，　기타　신용상태　개선으로  판단되는　사항　등의　사유로  신청할　수　있습니다．  ■신청방법  ①증빙자료　지참　후　영업점  방문　신청  ②인터넷뱅킹　또는　스타뱅킹을  통한　신청  ※기타　자세한　사항은　국민은행  홈페이지 ( 개인＞금융상품＞대출＞  대출관리＞개인대출　금리인하요구권 ) 또는　스타뱅킹 ( 뱅킹＞상품관리／해지＞  대출＞개인대출　금리인하요구권 ) 을  참고하시기　바랍니다． KB 국민은행　고객센터 #PHONE ▶챗봇상담　바로가기 #URL /듀>[ KB 국민은행 ],finance,1,"이 문자는 금융 기관인 KB 국민은행을 사칭하여 대출 관련 정보를 제공하고 있습니다. 특히, ""가계대출 금리인하요구권 안내""라는 내용은 대출을 권유하는 것으로, 금융권에서는 전화나 문자로 대출 신청을 권유하지 않기 때문에 스미싱으로 판단됩니다. 또한, 문서 내에 포함된 링크나 전화번호를 통해 추가적인 정보를 요구할 가능성이 있어, 이는 스미싱의 전형적인 특징입니다.",[],[],0,0,0,[],"금리 인하를 요구하도록 유도하며, 증빙자료 제출을 요구하는 내용이 포함되어 있다.",finance,,raw_reason_functional_left,3/5,1.0
