text,category,label,subset_label,model_wrong
"주님의 평화를 빕니다!안녕하세요? #ADDRESS 사목국 행정지원팀입니다. #ADDRESS에서 주문하신 ""하느님을 찾는 사람들"" 교재를 택배로 발송하였습니다. CJ대한통운이고 운송장 번호는 #TRACKING 입니다.행복한 오후 보내세요~",parcel,1,5/5,1.0
[Web발신]안녕하세요 #OTHERS입니다. ★지정일 배송 요청 ★ 배송은 요청 하신 시점에 생산 일정 변경 지연 및 재고가 소진되거나  배송 당일 물류량이 많을 경우 지연될 수 있는 점 양해 부탁드립니다.이사예정이신분들은 기존 냉장고 가지고 가셨다가 꼭 폐가전 수거 요청해 주세요.★감사합니다.,parcel,1,5/5,1.0
[Web발신]안녕하세요 고객님 #NAME입니다 :)주문하신 제품 출고지가 #ADDRESS로 2번에 걸쳐 각각 배송될 예정입니다.최대한 빠른 시일내에 받으실 수 있도록 최선을 다하겠습니다.즐거운 하루되세요~,parcel,1,5/5,1.0
[Web발신] [CJ대한통운 오네(O-NE)_배송완료] 고객님의 상품이 배송 완료되었습니다. · 상품명 : 꽃담초 부케가르니 연꽃5.5L용기_20Y · 인수자(위탁장소) : #ADDRESS · 운송장번호 : #TRACKING 모두를 위한 단 하나의 배송! CJ대한통운 오네 ※ CJ대한통운 고객센터 : #PHONE /[CJ대한통운],parcel,1,5/5,1.0
[Web발신][롯데마트] 주문완료안녕하세요 #NAME님!주문이 완료되었습니다.▶ 상품명 : 낙지(중)(마리)▶ 장바구니번호 : #TRACKING▶ 배송정보 : #ADDRESS,parcel,1,5/5,1.0
[Web발신][DB손해보험] 사고접수 #TRACKING 선진물류(주) 배상책임(배상책임) #TIME #TIME 일반보상파트 #NAME,parcel,1,5/5,1.0
"[Web발신]안녕하세요^^ #NAME입니다. 예약하신 제로G 저지 순차가 되어 발송예정입니다 대략 #TIME 배송되며 #ADDRESS가 변경되신분은 #TIME ""네이버톡톡""으로 안내바랍니다. 이 번호는 수신이 불가합니다.",parcel,1,5/5,1.0
월은 확고한 의지와 용기로 어려움을 극복하고 성취하는 달이 되길 진심으로 희망합니다. .#NAME 올림.* #TIME 부터 8%할인했읍니다..소량이라도 배송해드림니다. /전달: #TIME은 확고한 의지와 용,parcel,1,5/5,1.0
[Web발신][롯데마트] 주문완료안녕하세요 #NAME님!주문이 완료되었습니다.▶ 상품명 : 오늘좋은1등급우유(930ML2)▶ 장바구니번호 : #ACCOUNT▶ 배송정보 : #ADDRESS,parcel,1,5/5,1.0
[Web발신]안녕하세요 고객님 홈플러스몰에서 주문주신 버터구이오징어 판매처입니다. 현재 주문량 급증으로 입고가 지연되고있습니다. #TIME 순차발송예정으로 조금만 기다려주시길 양해부탁드립니다. 고객님께 최대한 빠른 배송이 될 수 있도록 노력하겠습니다. 고객님께 불편을 드려 대단히 죄송합니다.,parcel,1,5/5,1.0
[Web발신]대신택배(일산대화)입니다.배송된 택배비￦6 000원오늘 꼭 입금부탁드립니다★국민은행 #NAME★#ACCOUNT,parcel,1,5/5,1.0
상주 #NAME님!! 안녕하세요.[KB손해보험 #NAME] ~ 고객께서 주문한 [근조화환]상품이 배송완료 되었습니다.감사합니다.꽃배달 대표기업 삼팔플라워대표전화 : #PHONE홈페이지 #URL고객의 마음까지 전해드리는 삼팔플라워,parcel,1,5/5,1.0
[Web발신][에이원물류]인터넷발송입니다.문의 T. #PHONE (직통번호)호남(우리)화물택배 운송장 번호 보내드립니다. #TRACKING 입니다.,parcel,1,5/5,1.0
[Web발신]LG전자 배송으로 연락드렸으며 별도 발송된 알림톡/문자에서 배송일 확인 가능합니다.,parcel,1,5/5,1.0
[Web발신][W쇼핑]ARS 주문 시 남겨주신 주소가 정확하게 확인되지 않아 연락드렸으나 부재로 문자드립니다.배송시작이 지연되고 있으니 W쇼핑 고객센터로 연락 부탁드립니다. (#PHONE),parcel,1,5/5,1.0
안녕하세요 법률서점 입니다 헌법재판실무제요 개정3판이 출간 되었습니다 744페이지 35000?에 배송해 드립니다 수신을 원하지 않으시면 문자주세요. /전달: 전달: 전달: 전달: 전,parcel,1,5/5,1.0
[Web발신] [GS인천] 물류센터 내 탱크철거공사(#TIME~#TIME) 출하대 진출입로 변경되오니 주의운행 바랍니다.-진입 : 출하동 입구에서 우회전 (우회)-진출 : 현 진입로 이용,parcel,1,5/5,1.0
