text,category,label,reason_value,spans,evidences,use_evidence_loss,functional_valid,label0_has_evidence,functional_tags,functional_reason,functional_category,functional_row_idx,evidence_reason_merge,subset_label,model_wrong
"주님의 평화를 빕니다!안녕하세요? #ADDRESS 사목국 행정지원팀입니다. #ADDRESS에서 주문하신 ""하느님을 찾는 사람들"" 교재를 택배로 발송하였습니다. CJ대한통운이고 운송장 번호는 #TRACKING 입니다.행복한 오후 보내세요~",parcel,1,"해당 문자는 발신자가 신뢰할 수 있는 기관인 것처럼 가장하고 있으며, 특정 교재의 발송을 알리는 내용입니다. 그러나, 일반적으로 금융기관이나 공공기관은 개인의 주문 내역에 대해 문자로 발송하지 않으며, 특히 택배 발송에 대한 정보는 사칭할 가능성이 높습니다. 또한, 운송장 번호와 같은 민감한 정보를 요구하는 경우가 많아 스미싱의 핵심 신호가 드러나 있습니다.",[],[],0,0,0,[],주문한 교재의 배송 발송 사실을 안내하고 있다.,parcel,,raw_reason_functional_left,5/5,1.0
[Web발신]안녕하세요 #OTHERS입니다. ★지정일 배송 요청 ★ 배송은 요청 하신 시점에 생산 일정 변경 지연 및 재고가 소진되거나  배송 당일 물류량이 많을 경우 지연될 수 있는 점 양해 부탁드립니다.이사예정이신분들은 기존 냉장고 가지고 가셨다가 꼭 폐가전 수거 요청해 주세요.★감사합니다.,parcel,1,"해당 문자는 발신자가 불분명하며, 배송 요청과 관련된 내용이 포함되어 있습니다. 또한, 폐가전 수거 요청을 언급하며, 이는 일반적인 배송 안내와는 다소 다른 내용으로 보입니다. 이러한 요소들은 수신자가 링크를 클릭하거나 추가 정보를 제공하도록 유도할 수 있는 스미싱의 전형적인 특징을 나타냅니다.",[],[],0,0,0,[],정상적인 배송 안내와 이사 시 폐가전 수거 요청을 포함한 정보성 내용이다.,parcel,,raw_reason_functional_left,5/5,1.0
[Web발신]안녕하세요 고객님 #NAME입니다 :)주문하신 제품 출고지가 #ADDRESS로 2번에 걸쳐 각각 배송될 예정입니다.최대한 빠른 시일내에 받으실 수 있도록 최선을 다하겠습니다.즐거운 하루되세요~,parcel,1,"해당 문자는 출처가 불분명한 발신자 이름과 주소를 사용하고 있으며, 고객님에게 배송 관련 정보를 제공하는 것처럼 보이지만, 실제로는 신뢰할 수 없는 출처에서 발송된 것으로 보입니다. 이러한 요소들은 스미싱의 전형적인 특징으로, 사용자가 링크를 클릭하거나 개인 정보를 제공하도록 유도할 수 있는 위험이 있습니다.",[],[],0,0,0,[],"정상적인 배송 안내를 제공하고 있으며, 고객에게 긍정적인 메시지를 전달하고 있다.",parcel,,raw_reason_functional_left,4/5,1.0
[Web발신] [CJ대한통운 오네(O-NE)_배송완료] 고객님의 상품이 배송 완료되었습니다. · 상품명 : 꽃담초 부케가르니 연꽃5.5L용기_20Y · 인수자(위탁장소) : #ADDRESS · 운송장번호 : #TRACKING 모두를 위한 단 하나의 배송! CJ대한통운 오네 ※ CJ대한통운 고객센터 : #PHONE /[CJ대한통운],parcel,1,"해당 문자는 배송 완료를 알리는 내용으로 보이지만, 발신자가 'Web발신'으로 표시되어 있어 신뢰할 수 있는 출처인지 확인할 수 없습니다. 또한, 인수자와 운송장번호가 구체적으로 기재되어 있지 않으며, 실제 배송과 관련된 정보가 아닌 경우가 많습니다. 이러한 요소들은 스미싱의 전형적인 특징으로, 사용자가 링크를 클릭하거나 추가 정보를 요구하는 상황으로 유도할 수 있습니다.",[],[],0,0,0,[],정상적인 배송 완료 안내를 제공하고 있다.,parcel,,raw_reason_functional_left,3/5,1.0
[Web발신][롯데마트] 주문완료안녕하세요 #NAME님!주문이 완료되었습니다.▶ 상품명 : 낙지(중)(마리)▶ 장바구니번호 : #TRACKING▶ 배송정보 : #ADDRESS,parcel,1,"해당 문자는 롯데마트를 사칭하여 주문 완료를 알리는 내용으로, 실제로는 사용자의 개인 정보를 탈취하거나 악성 링크를 클릭하게 유도할 수 있는 스미싱 신호가 포함되어 있습니다. 특히, 발신자가 'Web발신'으로 표시되어 있어 신뢰할 수 없는 출처에서 온 것임을 암시하며, 주문 내역과 배송정보를 언급하여 사용자의 경각심을 낮추려는 의도가 보입니다.","[[31, 43]]","[""주문이 완료되었습니다.""]",1,1,0,"[""payment_or_transaction_claim""]",주문 완료를 알리며 금전적 거래 상황을 제시하고 있다.,parcel,,raw_reason_functional_left,3/5,1.0
[Web발신][DB손해보험] 사고접수 #TRACKING 선진물류(주) 배상책임(배상책임) #TIME #TIME 일반보상파트 #NAME,parcel,1,"해당 문자는 ""사고접수""와 ""배상책임""이라는 용어를 사용하여 피해자가 보험 관련 정보를 확인하도록 유도하는 내용입니다. 또한, 발신자가 ""Web발신""으로 표시되어 있어 신뢰할 수 있는 출처인지 확인하기 어렵고, 특정 링크나 추가 정보를 요구하는 형태가 아닌 점에서 스미싱의 전형적인 특징을 보입니다. 이러한 요소들은 사용자가 링크를 클릭하거나 추가 정보를 제공하도록 유도할 수 있는 위험한 신호로 작용합니다.","[[16, 30]]","[""사고접수 #TRACKING""]",1,0,0,"[""credential_or_document_request""]",사고접수를 요구하며 추가적인 정보를 요청하는 행동을 유도한다.,parcel,,raw_reason_functional_left,4/5,1.0
"[Web발신]안녕하세요^^ #NAME입니다. 예약하신 제로G 저지 순차가 되어 발송예정입니다 대략 #TIME 배송되며 #ADDRESS가 변경되신분은 #TIME ""네이버톡톡""으로 안내바랍니다. 이 번호는 수신이 불가합니다.",parcel,1,"해당 문자는 발송자의 신원이 불분명하며, 예약된 상품의 배송에 대한 안내를 가장하고 있습니다. 또한, 수신이 불가한 번호로 안내하고 있어 사용자가 추가적인 정보를 확인하기 어렵게 만듭니다. 이러한 요소들은 스미싱의 전형적인 특징으로, 사용자가 링크를 클릭하거나 추가 정보를 제공하도록 유도할 수 있는 위험한 신호입니다.","[[66, 106]]","[""#ADDRESS가 변경되신분은 #TIME \""네이버톡톡\""으로 안내바랍니다.""]",1,0,0,"[""delivery_issue_claim""]",배송 주소 변경을 요구하며 추가 연락을 유도하고 있다.,parcel,,raw_reason_functional_left,5/5,1.0
월은 확고한 의지와 용기로 어려움을 극복하고 성취하는 달이 되길 진심으로 희망합니다. .#NAME 올림.* #TIME 부터 8%할인했읍니다..소량이라도 배송해드림니다. /전달: #TIME은 확고한 의지와 용,parcel,1,"해당 문자는 할인 혜택을 언급하며, 소량의 배송을 제안하고 있습니다. 이러한 내용은 일반적으로 신뢰할 수 있는 출처에서 제공되지 않는 정보이며, 불분명한 출처에서 오는 메시지로 보입니다. 또한, 할인과 배송을 강조하여 수신자가 링크를 클릭하거나 추가 정보를 제공하도록 유도하는 점에서 스미싱의 전형적인 특징을 가지고 있습니다.","[[69, 93]]","[""8%할인했읍니다..소량이라도 배송해드림니다.""]",1,1,0,"[""benefit_or_loan_lure""]",할인 혜택을 제시하여 반응을 유도하고 있다.,parcel,,raw_reason_functional_left,5/5,1.0
[Web발신][롯데마트] 주문완료안녕하세요 #NAME님!주문이 완료되었습니다.▶ 상품명 : 오늘좋은1등급우유(930ML2)▶ 장바구니번호 : #ACCOUNT▶ 배송정보 : #ADDRESS,parcel,1,"해당 문자는 롯데마트를 사칭하여 주문 완료를 알리는 내용으로, 실제로는 사용자의 개인 정보를 탈취하거나 악성 링크를 클릭하게 유도할 수 있는 스미싱 신호가 포함되어 있습니다. 특히, 발신자가 'Web발신'으로 되어 있어 신뢰할 수 있는 출처인지 확인할 수 없으며, 주문 내역과 배송 정보가 포함되어 있어 사용자가 클릭하도록 유도하는 방식이 스미싱의 전형적인 특징입니다.","[[31, 43]]","[""주문이 완료되었습니다.""]",1,1,0,"[""payment_or_transaction_claim""]",주문 완료를 알리며 금전 거래 상황을 제시하고 있다.,parcel,,raw_reason_functional_left,5/5,1.0
[Web발신]안녕하세요 고객님 홈플러스몰에서 주문주신 버터구이오징어 판매처입니다. 현재 주문량 급증으로 입고가 지연되고있습니다. #TIME 순차발송예정으로 조금만 기다려주시길 양해부탁드립니다. 고객님께 최대한 빠른 배송이 될 수 있도록 노력하겠습니다. 고객님께 불편을 드려 대단히 죄송합니다.,parcel,1,"해당 문자는 고객님을 대상으로 한 발신으로 보이며, 주문한 상품의 입고 지연에 대한 안내를 하고 있습니다. 그러나, 스미싱 문자에서는 종종 고객의 불안감을 조성하여 링크 클릭이나 개인 정보 입력을 유도하는 경우가 많습니다. 이 문자는 특정한 링크나 추가적인 행동을 요구하지 않지만, 발신자가 '홈플러스몰'이라고 주장하고 있으며, 실제로는 확인되지 않은 출처에서 온 메시지일 가능성이 있습니다. 따라서, 이러한 요소들이 스미싱 문자로 판단되는 근거가 됩니다.",[],[],0,0,0,[],정상적인 배송 지연 안내로 고객에게 양해를 요청하고 있다.,parcel,,raw_reason_functional_left,5/5,1.0
