text,category,label,subset_label,model_wrong
[비품넷]#NAME님의 주문이 결제완료 되었습니다□주문번호 : #TRACKING□결제금액 : 9 900원이용해주셔서 감사합니다▷[비품넷] 바로가기 :#URL,credit,1,5/5,1.0
[Web발신][결제출금안내] #NAME #TIME 납입예정분 #ACCOUNT에서 49 013원 출금 예정입니다. ※실 출금일 : #TIME,credit,1,5/5,1.0
[경기지역화폐] 복지지원금 사용 안내  ■ 누적 사용금액 : 394260원 ■ 잔액: 5740원 ■ 사용기한 : #TIME 까지 ■ 사용 유의 사항 ※ 기한 내 미사용한 복지지원금은 자동 소멸되어  복구가 불가능합니다.  ※ 사용 기한 이후 결제 취소 시 복구되지 않고 소멸되어  재결제가 불가능합니다.  ※ 복지지원금은 계좌충전금(잔액)보다 우선 사용됩니다. ■문의- 복지지원금 고객센터 :#PHONE 비회원의 경우 아래 페이지에서 잔액 조회가 가능합니다. #URL,credit,1,5/5,1.0
[Web발신][마루사이버 독서실]#NAME 님이 [056]좌석으로#TIME ~ #TIME 등록 되었습니다.결제금액 : 340 000 원 입니다.출입비번 #PASSWORD /#PHONE,credit,1,5/5,1.0
분당서울대학교병원[진료(검사)비 수납 안내]■ 고객명 : #NAME■ 등록번호 : #ACCOUNT■ 진료(검사)일 : #TIME (수)※ 당일 예정된 진료(검사)비 결제는 무인수납기 또는 수납창구에서 결제가 가능합니다.※ 진료(검사)비 결제 후 추가 검사 및 처방이 있는 경우 추가금이 발생할 수 있습니다. /#ACCOUNT,credit,1,5/5,1.0
[Web발신](광고) [YES24북클럽] 북클럽 컴백하면 ★1OO％ 당첨★무제한 독서라이프!<예스24 북클럽>이바쁜 일상에서도 더 편리하게독서할 수 있도록 개편했어요.한층 더 업그레이드된 북클럽에서1개월 추가 혜택 받고다시 무제한 독서 시작해보세요!▷이벤트 대상 : 본 문자를 수신하신 북클럽 해지 회원▷이벤트 혜택 : 북클럽 1개월 이용권 (30일)▷참여방법① YES24 북클럽 방문하기② #OTHERS 요금제 또는 #OTHERS 요금제 재가입하면 자동 참여 완료!▶[다시 시작하고 1개월 이용권 받기]#URL  ※본 이벤트는 #TIME까지 진행됩니다.※이용권은 이벤트 기간 동안 재가입 (유료 결제 1회) 진행 시  문자를 수신하신 휴대폰 번호로 #TIME에 일괄 발송될 예정입니다.※본 이벤트는 이 문자를 수신한 고객만 참여 가능하며  이벤트 기간 내 #OTHERS 또는 #OTHERS 요금제 가입 시 1개월 이용권 증정 혜택이 제공됩니다. (FLO #OTHERS 요금제 가입 시 이용권 등록 불가)※이벤트 대상자가 아닐 시 이벤트 혜택을 받을 수 없습니다.※본 이벤트는 당사 사정에 의하여 변경 및 조기 종료될 수 있습니다./무료수신거부 #PHONE SMS/-,credit,1,5/5,1.0
[Web발신](광고)[오늘53%마감_엔구]♥#NAME님께 알려드리는 엔구의 특별선물 12개월 추가 할인 코드 증정오늘 53% 할인 종료 및 가격 인상 전 등록하세요!★모든 6개월 수강권 33% 할인★스탠다드  프리미엄 라이트  프리미엄 6개월 33% 할인!★모든 12개월 수강권 53% 할인★스탠다드  프리미엄 라이트  프리미엄 12개월 53% 할인!월 39 330원으로 영어회화 마스터!★오늘까지만 쓰실 수 있는 12개월 추가 할인코드★스탠다드 3만원 할인코드 [#PASSWORD]프리미엄라이트 5만원 할인코드 [#PASSWORD]프리미엄 10만원 할인코드 [#PASSWORD]전화문의> #PHONE엔구 홈페이지> #URL가격/결제 페이지> #URL감사합니다.무료거부 #PHONE인증 #PASSWORD /[오늘53%마감_엔구],credit,1,5/5,1.0
(광고)좋은사람들 멤버십#TIME이#NAME 님의 생일을 축하드립니다!좋은사람들 생일쿠폰으로 소중한 선물을 준비하세요♬▶생일혜택 : 10% 할인쿠폰▶유효기간 : 발행일로부터 30일 간▶사용처:1. 보디가드/예스/섹시쿠키/퍼스트올로/제임스딘 전문점(백화점 입점매장 일부 사용불가)2. 좋은사람들 온라인 쇼핑몰※쇼핑몰 바로가기 #URL▶사용방법:1. 오프라인 매장 제품 결제 시 회원정보 확인 후 생일쿠폰 적용2. 온라인 쇼핑몰 제품 결제 시 생일쿠폰 적용※정상제품 구매 시 사용가능(행사제품 제외)※타 쿠폰 및 포인트 중복 사용불가☎멤버십 문의 : #PHONE☎무료 수신거부 : #PHONE,credit,1,5/5,1.0
"[Web발신](광고) [전자랜드] 특별선정 3만원 쿠폰 증정안녕하세요 고객님.잘 지내고 계신지 안부 인사드립니다.특별 선정된 고객님께만 ""3만원 할인쿠폰""을 드립니다.■ 3만원 쿠폰 당첨(※ 본 문자 수신고객에 한함)* 당첨혜택 : 3만원 쿠폰 (10만원이상 구매시)* 사용기한 : #TIME~#TIME* 사용매장 : 전자랜드 오프라인매장 전점* 유의사항- 결제 전 본 문자를 제시해주세요.- 사용기한 내 미사용시 자동 소멸- 현금과 동일하게 사용 가능- 미사용 미리드림포인트 현금성 환원 불가※ 상세 문의는 매장 전문 상담사에게 연락해주시기 바랍니다.문의 : #PHONE무료수신거부 : #PHONE /[전자랜드] 특별선정 3만원 쿠폰 증정",credit,1,5/5,1.0
[Web발신]* 쿠폰 미사용 고객님께 재발송 드립니다. 유효기간 내 사용하여 주시기 바랍니다.＊상품명칭 : GS칼텍스 세차할인쿠폰 3000원(5회)＊쿠폰번호 : #TRACKING＊유효기간 : ~#TIME 까지＊사용가격 : 15 000 원＊사용제한 : ＊주의사항 : (1) 본 쿠폰을 주유/충전과 함께 이용 시 주유/충전비 결제 완료 후 세차쿠폰 제시(2) 외부 세차 승용 기준으로  유효기간 이내 1인 1일 1매 사용(3) 세차결제(세차쿠폰 포함)는 GS&POINT 적립 및 사용 불가(4) 쿠폰의 현금 교환 및 타인 양도 불가(5) 동일쿠폰 및 타 쿠폰과 중복사용 불가＊사용처 : GS칼텍스 지정 주유소/충전소 (일부 사업장 제외)＊쿠폰 사용 및 지점 문의 : #PHONE /제목없음,credit,1,5/5,1.0
[Web발신][결제출금안내]#NAME #TIME 납입예정분 #ACCOUNT에서 376 452원 출금 예정입니다.※실 출금일 : #TIME,credit,1,5/5,1.0
[Web발신]   콘텐츠이용료(Google) [결제]    * 가격 : 10 450 원  * 상품명 : YouTube Premium  * 주문번호 : #TRACKING  * 구매일시 : #TIME  ▶'미리납부’ 방법과 ‘이벤트’ 확인하기  #URL ▶ 상품구매관련 문의는 판매자  GOOGLE (#URL)  으로 연락주세요  ▶ Google Play 결제취소 문의: #PHONE(평일 #TIME) 또는 #URL ▶ YouTube Premium 결제취소 문의: #URL /구글 Play스토어 결제내역,credit,1,5/5,1.0
[Web발신](광고)[SKT] SKT 콘텐츠 월드 혜택을 안내#NAME 고객님 안녕하세요.게임 웹툰 YouTube 혜택이 가득한 SKT 콘텐츠 월드 혜택 안내드립니다.■ SKT 콘텐츠 월드 혜택 안내- 결제 기간: #TIME- Welcome 혜택: 구글 콘텐츠 이용료 5천 원 이상 결제 시 5천 원 청구 할인- 게임 혜택: 할인 대상 구글 플레이 앱에서 <SK Telecom 결제> 시 최대 10% 청구 할인- 웹툰/웹소설 혜택: 할인 대상 구글 플레이 앱에서 <SK Telecom 결제> 시 최대 20% 청구 할인- YouTube Premium 혜택: YouTube Preimum을 구글 <SK Telecom 결제> 시 3천 원 청구 할인▶ 자세히 보기: #URL ※ 유의 사항- 이벤트 페이지에서 <참여하기>를 눌러야 할인 혜택을 받을 수 있습니다.- 할인 금액은 #TIME에서 확인하실 수 있습니다.- 휴대폰 결제 이용 동의를 취소할 경우(서비스 해지 명의변경 이용 차단 등) 할인 혜택을 받으실 수 없습니다.- 결제를 취소할 경우 할인 혜택을 받으실 수 없습니다.■ 문의: SKT 고객센터(#PHONE 무료)SKT와 함께해주셔서 감사합니다.무료 수신거부 #PHONE /[SK텔레콤] SKT 콘텐츠 월드 혜택을 안내드립니다.,credit,1,5/5,1.0
[Web발신]안녕하세요. kt M 모바일 입니다. #TIME 개통 사은품으로 펫프렌즈 할인쿠폰 증정 드립니다. ■ 반려동물 1등 쇼핑몰 펫프렌즈 1만원 할인쿠폰 - 쿠폰코드 : #PASSWORD - 할인쿠폰 유효기간 : #TIME ■ 할인쿠폰 사용하러 가기 : #URL ■ 할인쿠폰 사용 방법 - 상품선택 > '장바구니 담기' 클릭 > '구매하기' 클릭 > '주문 쿠폰' 클릭 > 코드 입력 > '쿠폰발급' 클릭 ■ 유의사항 - 본 쿠폰은 3만원 이상 결제 시 1만원 할인이 적용됩니다. - 본 쿠폰은 펫프렌즈 앱(APP)에서 회원가입 후 사용 가능합니다. - 본 쿠폰은 계정 당 1회 한정  타 쿠폰 및 할인과 중복 적용되지 않습니다. - 본 쿠폰은 주문 결제 시 적용 가능하며  쿠폰함에 보관이 불가합니다. - 쿠폰 사용에 대한 문의사항은 펫프렌즈 고객센터(#PHONE)로 문의바랍니다. ★잠깐★ 엠모바일 친구초대  사용후기 등을 통해 푸짐한 선물도 받아가세요! * 친구초대 가기   #URL * 사용후기 가기   #URL kt M 모바일을 이용해 주셔서 감사합니다. /[kt M 모바일] 반려동물 1등 쇼핑몰 펫프렌즈 1만원 할인쿠폰,credit,1,5/5,1.0
[Web발신][#TIME 자동차 탄소포인트제 최종실적 등록 안내] #TIME 자동차 탄소포인트제 최종 실적 등록에 대해 안내드립니다. - 기간 : #TIME ~ #TIME #TIME      ※기간 내 미등록 시 인센티브 산정 대상에서 제외※ - 제출 사진 : #OTHERS이 보이는 차량 앞면  누적주행거리(ODO)가 표시된 계기판 - 제출 방법 : #PHONE 문자 메세지 내의 #URL을 통한 즉시 촬영 및 주행거리 입력 후 제출 ★ 제출하신 사진 등록 확인은 #URL에 재접속하시면 “사진등록완료” 로 확인할 수 있습니다. ★ 사진등록 2주안에 검증하여 “승인” 또는 “반려” 문자를 보내드리오니 참고하시기 바랍니다. 사진등록 URL :  #URL ＊문의전화가 많아 통화가 어려울 수 있으니 양해 부탁드립니다. ＊인센티브 지급 일정 및 자세한 사항은 공지사항 참고 부탁드립니다.   공지사항 URL : #URL /자동차탄소포인트 최종실적 등록,credit,1,5/5,1.0
[Web발신]야놀자 예약이 완료되었습니다.*예약주문 : #TRACKING*예약일 : #TIME*실 결제금액 : 40 000 원*고객명 : #NAME 님고객님은 구매 리워드 응모 대상자로  지금 바로 신청 가능합니다.신청하러 가기>> #URL※ 응모조건 :  1. 마케팅 3종 수신동의(구매 예약정보 Push 알림  이벤트 혜택 Push 알림  개인정보 수집 및 이용동의(선택)) 및 밀크 계정 연동 완료  2. 이벤트 응모 대상 상품은 #TIME 기간 내 사용완료/체크아웃 필수  3. 본 주문 취소 시 자동으로 응모가 취소되며  취소 당일에는 재주문 시에도 응모가 불가합니다.※ 응모 가능 기간 : 예약일 23:59 까지 응모 가능※ 응모 후 혜택 지급일 : 대상 상품 사용완료/체크아웃 후 3영업일 이내 지급※ 유의사항  -  레저/티켓/모바일교환권/렌터카 상품은 사용 처리 완료 알림톡 또는 LMS 수신 시점에 사용완료 처리됩니다. 단  제휴사에 따라 메시지 수신이 지연되는 경우 실 사용일 기준으로 페이백 지급이 이루어지며  관련 사항은 고객센터로 문의 주시기 바랍니다.   - 실 결제금액은 상품의 총 판매금액에서 포인트  쿠폰  제휴사 할인 등 기타 할인을 모두 제외한 금액을 의미합니다.[M1],credit,1,5/5,1.0
