text,category,label,reason_value,spans,evidences,use_evidence_loss,functional_valid,label0_has_evidence,functional_tags,functional_reason,functional_category,functional_row_idx,evidence_reason_merge,subset_label,model_wrong
[비품넷]#NAME님의 주문이 결제완료 되었습니다□주문번호 : #TRACKING□결제금액 : 9 900원이용해주셔서 감사합니다▷[비품넷] 바로가기 :#URL,credit,1,"해당 문자는 비품넷이라는 이름을 사용하여 결제 완료를 알리고 있으며, 주문번호와 결제금액을 포함하고 있습니다. 그러나 링크가 포함되어 있어 사용자가 클릭하도록 유도하고 있으며, 이는 스미싱의 전형적인 특징입니다. 또한, 출처가 불분명한 링크를 통해 사용자의 개인 정보나 금융 정보를 탈취하려는 의도가 있을 수 있습니다.","[[13, 27], [70, 87]]","[""주문이 결제완료 되었습니다"", ""▷[비품넷] 바로가기 :#URL""]",1,1,0,"[""payment_or_transaction_claim"", ""link_or_contact_induction""]",결제 완료를 알리며 링크 클릭을 유도하여 추가 행동을 요구한다.,credit,,raw_reason_functional_left,5/5,1.0
[Web발신][결제출금안내] #NAME #TIME 납입예정분 #ACCOUNT에서 49 013원 출금 예정입니다. ※실 출금일 : #TIME,credit,1,"해당 문자는 출처가 불분명한 결제 출금 안내를 포함하고 있으며, 특정 금융기관의 공식적인 메시지로 보이지 않습니다. 또한, 납입예정금액과 출금일이 명시되어 있지만, 실제로 이러한 정보를 제공하는 금융기관은 전화나 문자로 대출 신청을 권유하지 않기 때문에 스미싱의 가능성이 높습니다.","[[28, 62], [63, 77]]","[""납입예정분 #ACCOUNT에서 49 013원 출금 예정입니다."", ""※실 출금일 : #TIME""]",1,1,0,"[""payment_or_transaction_claim"", ""urgency_or_deadline_pressure""]",출금 예정과 실 출금일을 안내하며 즉각적인 대응을 유도한다.,credit,,raw_reason_functional_left,5/5,1.0
[경기지역화폐] 복지지원금 사용 안내  ■ 누적 사용금액 : 394260원 ■ 잔액: 5740원 ■ 사용기한 : #TIME 까지 ■ 사용 유의 사항 ※ 기한 내 미사용한 복지지원금은 자동 소멸되어  복구가 불가능합니다.  ※ 사용 기한 이후 결제 취소 시 복구되지 않고 소멸되어  재결제가 불가능합니다.  ※ 복지지원금은 계좌충전금(잔액)보다 우선 사용됩니다. ■문의- 복지지원금 고객센터 :#PHONE 비회원의 경우 아래 페이지에서 잔액 조회가 가능합니다. #URL,credit,1,"해당 문자는 복지지원금 사용 안내를 가장하여 사용자의 개인 정보를 요구하거나 악성 링크를 클릭하도록 유도할 가능성이 있습니다. 특히, 사용 기한과 관련된 긴급성을 강조하며, 잔액 조회를 위한 URL을 제공하는 점에서 스미싱의 전형적인 특징을 보이고 있습니다. 이러한 요소들은 사용자가 링크를 클릭하도록 유도하여 피해를 입힐 수 있는 위험이 있습니다.","[[226, 261]]","[""비회원의 경우 아래 페이지에서 잔액 조회가 가능합니다. #URL""]",1,0,0,"[""credential_or_document_request""]",사용 기한을 강조하며 조치를 취하지 않을 경우 손실이 발생한다고 경고한다.,credit,,raw_reason_functional_left,5/5,1.0
[Web발신][마루사이버 독서실]#NAME 님이 [056]좌석으로#TIME ~ #TIME 등록 되었습니다.결제금액 : 340 000 원 입니다.출입비번 #PASSWORD /#PHONE,credit,1,"해당 문자는 출처가 불분명한 결제 정보와 비밀번호를 포함하고 있으며, 결제 금액이 비정상적으로 높습니다. 또한, 특정 서비스에 대한 등록을 주장하면서 개인 정보를 요구하는 형태로, 이는 스미싱의 전형적인 특징입니다.","[[59, 80], [80, 94]]","[""결제금액 : 340 000 원 입니다."", ""출입비번 #PASSWORD""]",1,1,0,"[""payment_or_transaction_claim"", ""credential_or_document_request""]",결제 금액을 제시하며 비밀번호 제출을 요구하고 있다.,credit,,raw_reason_functional_left,3/5,1.0
분당서울대학교병원[진료(검사)비 수납 안내]■ 고객명 : #NAME■ 등록번호 : #ACCOUNT■ 진료(검사)일 : #TIME (수)※ 당일 예정된 진료(검사)비 결제는 무인수납기 또는 수납창구에서 결제가 가능합니다.※ 진료(검사)비 결제 후 추가 검사 및 처방이 있는 경우 추가금이 발생할 수 있습니다. /#ACCOUNT,credit,1,"해당 문자는 분당서울대학교병원에서 발송된 것처럼 보이지만, 진료비 수납 안내라는 내용이 포함되어 있어 사용자가 결제를 유도받는 형태입니다. 또한, 고객명과 등록번호가 #NAME과 #ACCOUNT로 표기되어 있어 개인 정보가 노출되지 않도록 조작된 것으로 보입니다. 이러한 요소들은 스미싱의 전형적인 특징으로, 사용자가 링크를 클릭하거나 결제를 시도하도록 유도하는 의도가 있는 것으로 판단됩니다.","[[77, 122]]","[""당일 예정된 진료(검사)비 결제는 무인수납기 또는 수납창구에서 결제가 가능합니다.""]",1,0,0,"[""payment_or_transaction_claim""]","당일 결제를 요구하며, 결제 방법을 안내하여 행동을 유도한다.",credit,,raw_reason_functional_left,3/5,1.0
[Web발신](광고) [YES24북클럽] 북클럽 컴백하면 ★1OO％ 당첨★무제한 독서라이프!<예스24 북클럽>이바쁜 일상에서도 더 편리하게독서할 수 있도록 개편했어요.한층 더 업그레이드된 북클럽에서1개월 추가 혜택 받고다시 무제한 독서 시작해보세요!▷이벤트 대상 : 본 문자를 수신하신 북클럽 해지 회원▷이벤트 혜택 : 북클럽 1개월 이용권 (30일)▷참여방법① YES24 북클럽 방문하기② #OTHERS 요금제 또는 #OTHERS 요금제 재가입하면 자동 참여 완료!▶[다시 시작하고 1개월 이용권 받기]#URL  ※본 이벤트는 #TIME까지 진행됩니다.※이용권은 이벤트 기간 동안 재가입 (유료 결제 1회) 진행 시  문자를 수신하신 휴대폰 번호로 #TIME에 일괄 발송될 예정입니다.※본 이벤트는 이 문자를 수신한 고객만 참여 가능하며  이벤트 기간 내 #OTHERS 또는 #OTHERS 요금제 가입 시 1개월 이용권 증정 혜택이 제공됩니다. (FLO #OTHERS 요금제 가입 시 이용권 등록 불가)※이벤트 대상자가 아닐 시 이벤트 혜택을 받을 수 없습니다.※본 이벤트는 당사 사정에 의하여 변경 및 조기 종료될 수 있습니다./무료수신거부 #PHONE SMS/-,credit,1,"본 문자는 ""무제한 독서라이프""와 ""1OO％ 당첨""이라는 문구를 사용하여 사용자를 유도하고 있으며, 이벤트 참여를 위해 특정 요금제에 재가입해야 한다고 안내하고 있습니다. 또한, ""이 문자를 수신한 고객만 참여 가능""이라는 조건을 제시하여 수신자에게 긴급성을 부여하고 있습니다. 이러한 요소들은 스미싱의 전형적인 특징으로, 사용자가 링크를 클릭하거나 개인 정보를 제공하도록 유도하는 방식입니다.",[],[],0,0,0,[],이벤트 참여 방법과 혜택을 안내하는 정상적인 마케팅 정보이다.,credit,,raw_reason_functional_left,4/5,1.0
[Web발신](광고)[오늘53%마감_엔구]♥#NAME님께 알려드리는 엔구의 특별선물 12개월 추가 할인 코드 증정오늘 53% 할인 종료 및 가격 인상 전 등록하세요!★모든 6개월 수강권 33% 할인★스탠다드  프리미엄 라이트  프리미엄 6개월 33% 할인!★모든 12개월 수강권 53% 할인★스탠다드  프리미엄 라이트  프리미엄 12개월 53% 할인!월 39 330원으로 영어회화 마스터!★오늘까지만 쓰실 수 있는 12개월 추가 할인코드★스탠다드 3만원 할인코드 [#PASSWORD]프리미엄라이트 5만원 할인코드 [#PASSWORD]프리미엄 10만원 할인코드 [#PASSWORD]전화문의> #PHONE엔구 홈페이지> #URL가격/결제 페이지> #URL감사합니다.무료거부 #PHONE인증 #PASSWORD /[오늘53%마감_엔구],credit,1,"이 문자는 할인 코드와 함께 긴급성을 강조하며, 특정 링크를 클릭하도록 유도하고 있습니다. 또한, 출처가 불분명한 광고 메시지로 보이며, 할인 코드와 전화 문의를 통해 개인 정보를 요구하는 형태가 스미싱의 전형적인 특징입니다. 이러한 요소들은 사용자가 속아 넘어가도록 유도하는 스미싱 신호로 작용합니다.","[[63, 92], [324, 349]]","[""오늘 53% 할인 종료 및 가격 인상 전 등록하세요!"", ""전화문의> #PHONE엔구 홈페이지> #URL""]",1,1,0,"[""benefit_or_loan_lure"", ""link_or_contact_induction""]","할인 종료를 강조하며 등록을 유도하고, 전화 문의 및 홈페이지 방문을 유도한다.",credit,,raw_reason_functional_left,3/5,1.0
(광고)좋은사람들 멤버십#TIME이#NAME 님의 생일을 축하드립니다!좋은사람들 생일쿠폰으로 소중한 선물을 준비하세요♬▶생일혜택 : 10% 할인쿠폰▶유효기간 : 발행일로부터 30일 간▶사용처:1. 보디가드/예스/섹시쿠키/퍼스트올로/제임스딘 전문점(백화점 입점매장 일부 사용불가)2. 좋은사람들 온라인 쇼핑몰※쇼핑몰 바로가기 #URL▶사용방법:1. 오프라인 매장 제품 결제 시 회원정보 확인 후 생일쿠폰 적용2. 온라인 쇼핑몰 제품 결제 시 생일쿠폰 적용※정상제품 구매 시 사용가능(행사제품 제외)※타 쿠폰 및 포인트 중복 사용불가☎멤버십 문의 : #PHONE☎무료 수신거부 : #PHONE,credit,1,"해당 문자는 생일 쿠폰을 제공하는 내용으로, 특정 브랜드의 멤버십을 언급하며 할인 혜택을 제시하고 있습니다. 그러나, 출처가 불분명한 링크(#URL)가 포함되어 있어 사용자가 클릭할 경우 악성 사이트로 유도될 가능성이 있습니다. 또한, 문자 내용이 과도한 할인 혜택을 강조하고 있어 사기성 메시지의 전형적인 특징을 보입니다. 이러한 요소들은 스미싱 문자로 판단되는 근거가 됩니다.",[],[],0,0,0,[],생일 쿠폰과 관련된 혜택 및 사용 방법을 안내하는 정상적인 마케팅 메시지이다.,credit,,raw_reason_functional_left,5/5,1.0
"[Web발신](광고) [전자랜드] 특별선정 3만원 쿠폰 증정안녕하세요 고객님.잘 지내고 계신지 안부 인사드립니다.특별 선정된 고객님께만 ""3만원 할인쿠폰""을 드립니다.■ 3만원 쿠폰 당첨(※ 본 문자 수신고객에 한함)* 당첨혜택 : 3만원 쿠폰 (10만원이상 구매시)* 사용기한 : #TIME~#TIME* 사용매장 : 전자랜드 오프라인매장 전점* 유의사항- 결제 전 본 문자를 제시해주세요.- 사용기한 내 미사용시 자동 소멸- 현금과 동일하게 사용 가능- 미사용 미리드림포인트 현금성 환원 불가※ 상세 문의는 매장 전문 상담사에게 연락해주시기 바랍니다.문의 : #PHONE무료수신거부 : #PHONE /[전자랜드] 특별선정 3만원 쿠폰 증정",credit,1,"이 문자는 ""특별선정된 고객님께만 3만원 할인쿠폰""을 제공한다고 주장하며, 수신자가 쿠폰을 받기 위해 특정 조건을 충족해야 한다고 안내하고 있습니다. 또한, 사용기한과 유의사항을 명시하고 있지만, 이러한 방식은 일반적으로 스미싱에서 사용되는 기법으로, 수신자가 링크를 클릭하거나 추가 정보를 제공하도록 유도하는 전형적인 패턴입니다. 특히, ""특별선정""이라는 표현은 수신자가 특별한 혜택을 받는 것처럼 느끼게 하여 클릭을 유도하는 사회공학적 기법이 사용된 것으로 보입니다.",[],[],0,0,0,[],"정상적인 쿠폰 증정과 관련된 안내를 포함하고 있으며, 고객에게 유의사항과 문의 방법을 안내하고 있다.",credit,,raw_reason_functional_left,3/5,1.0
[Web발신]* 쿠폰 미사용 고객님께 재발송 드립니다. 유효기간 내 사용하여 주시기 바랍니다.＊상품명칭 : GS칼텍스 세차할인쿠폰 3000원(5회)＊쿠폰번호 : #TRACKING＊유효기간 : ~#TIME 까지＊사용가격 : 15 000 원＊사용제한 : ＊주의사항 : (1) 본 쿠폰을 주유/충전과 함께 이용 시 주유/충전비 결제 완료 후 세차쿠폰 제시(2) 외부 세차 승용 기준으로  유효기간 이내 1인 1일 1매 사용(3) 세차결제(세차쿠폰 포함)는 GS&POINT 적립 및 사용 불가(4) 쿠폰의 현금 교환 및 타인 양도 불가(5) 동일쿠폰 및 타 쿠폰과 중복사용 불가＊사용처 : GS칼텍스 지정 주유소/충전소 (일부 사업장 제외)＊쿠폰 사용 및 지점 문의 : #PHONE /제목없음,credit,1,"이 문자는 쿠폰을 재발송한다는 내용으로, 사용자가 미사용 고객임을 언급하며 특정 상품에 대한 할인 쿠폰을 제공하고 있습니다. 그러나, 쿠폰 번호와 유효기간이 포함되어 있으며, 사용처가 특정 주유소로 제한되어 있는 점에서 사기꾼이 실제로 존재하지 않는 쿠폰을 통해 사용자의 개인 정보를 유도하거나 악성 링크를 클릭하게 만들려는 의도가 있을 수 있습니다. 또한, 쿠폰 사용에 대한 주의사항이 복잡하게 나열되어 있어 사용자가 혼란스러워 할 수 있으며, 이는 스미싱의 전형적인 특징입니다.","[[9, 52], [355, 377]]","[""쿠폰 미사용 고객님께 재발송 드립니다. 유효기간 내 사용하여 주시기 바랍니다."", ""쿠폰 사용 및 지점 문의 : #PHONE""]",1,1,0,"[""benefit_or_loan_lure"", ""link_or_contact_induction""]","쿠폰 사용을 유도하며, 문의를 통해 추가 접촉을 유도한다.",credit,,raw_reason_functional_left,5/5,1.0
